category,title,location,regular_price,discount_price,disc_amt,summary,link
sightseeing,SeaQuest Interactive Aquarium and Petting Zoo- Utah,"Layton Meadows, Layton",19.98,15.0,75,Admission For One,https://www.groupon.com/deals/seaquest-1?deal_option=5e2c0a0f-de23-4537-bd86-44231dd95fb5
tickets,SeaQuest Interactive Aquarium and Petting Zoo- Utah,"Layton Meadows, Layton",19.98,15.0,75,Admission For One,https://www.groupon.com/deals/seaquest-1?deal_option=5e2c0a0f-de23-4537-bd86-44231dd95fb5
hair,Serendipity Studios,"685 West 5300 South, Murray",60.0,30.0,50,Brazilian Waxes,https://www.groupon.com/deals/kenzie-the-esthetician-1
cafes,Seven serenity,"360 State Street, Orem",4.0,2.0,50,Coffee / Tea Supplies,https://www.groupon.com/deals/seven-serenity
spas,Shear Indulgence Spa N Salon,"1348 East Center Street, Spanish Fork",65.0,45.0,69,One 60-Minute Massage,https://www.groupon.com/deals/shear-indulgence-spa-n-salon-16?deal_option=998b645e-909e-447d-9de5-adaad1b8769f
hair,Simplicity Laser,"24 South 500 West, Bountiful",960.0,75.0,7,EIGHT Laser Hair-Removal Treatments for One Small Area,https://www.groupon.com/deals/simplicity-15-718025052?deal_option=ecc92d30-9c5f-496b-929a-764f5f3bf459
nail,SkinScience Institute,"10299 S 1300 E, Sandy",195.0,75.0,38,Three Gel Polish Manicures and Pedicures,https://www.groupon.com/deals/skinscience-institute-15?deal_option=39761b36-4059-43bf-82da-27cbe916306a
spas,SkinScience Institute,"10299 S 1300 E, Sandy",195.0,75.0,38,Three Gel Polish Manicures and Pedicures,https://www.groupon.com/deals/skinscience-institute-15?deal_option=39761b36-4059-43bf-82da-27cbe916306a
hair,SkinScience Institute,"10299 S 1300 E, Sandy",275.0,99.0,36,Orem: Six Laser Hair-Removal Treatments on a Small Area,https://www.groupon.com/deals/skinscience-institute-16?deal_option=bdeed3f7-561f-429e-ac9a-ec1401ef31d7
tanning,Solarium Tanning & Travel,"5520 13400 South, Herriman",35.0,18.9,53,One Week Unlimited Red Light Therapy,https://www.groupon.com/deals/solarium-tanning-and-travel-2?deal_option=50d34558-5881-4d42-9be2-17089b3ff463
fitness,Studio Core Pilates,1388 Draper Parkway,75.0,25.0,33,Three Equipment Pilates Classes,https://www.groupon.com/deals/studio-core-pilates-1?deal_option=752ce111-6815-4729-8cd1-d0d8f10bc416
tanning,Sun Studio Spray Tans,"1977 South 300 West, Salt Lake City",55.0,28.0,50,One Airbrush Spray-Tan Session,https://www.groupon.com/deals/sun-kissed-spray-tans-1?deal_option=4b2f1c01-b75d-4e3e-ac96-052965d8fff9
nightlife,The Brewery Comedy Tour at Salt Lake,"Quitting Time Condominiums, Park City",13.0,9.5,73,The Brewery Comedy Tour at Sa...,https://www.groupon.com/deals/goldstar-the-brewery-comedy-tour-at-salt-lake?deal_option=e0e0ece2-74e0-4b7b-8dae-a315709b03b9
